Name
انةحري ةحيام ينمهز
رمسي مىل ااىلصاريب
طاهىرل ديقع المهس
ةشبي ايوقت الشقوى
دساع يامنره حجان
كمرا معر حىسن
اصب جبر رومسليان
رةندا علسىااب رميع
غنلاىا حميدها ازتايم
يسنر سهجد اسرم
ىولرحا دةوعب رداكسن
للزيا عنضوي معنا
توحف لاام قععلااق
باسعبو ىبلح نهاج
دنياا همنيا كازن
لراحف يااعملز مهتبا
لةياغ طالب بكاس
مكثا حيبةب بنيهاس
يواب بافاعدعلن ارىضل
عباشافلدى دىنسا زحرم
يلاهغ رمليا ايبرنص
سيرة الحبرىي همبيو
عسيمردس طدلعبفحمدلميا ممسسوكي
نبىدش سالام حسبم
وملانشىا وسنت جخيدة
سنوي دؤفاه مهايح
رزعا دعه يتكمر
لسر نوصفا لىصاصفاف
اناج نالا عهيل
باسل هسابنىل بطاح
دجعمابدال لرىاحبا اناج
ارنبع خرىي ةشبي
سسو نغيضا مطصفالى
وفن برهشا ماحس
بنغا فيزوة تيحا
يائلع لىع عادةي
الحجىروا نده ينفط
ىنردبا طدلعبفحمدلميا فهروزي
نهممي فلعظحدباا حنا
دوش فاسليي دياا
ىمنج تاارم مرىع
ودوبعددال بدىعبالن سىدن
ةطافم رىبح اىلف
الكم شقلىام سيلا
الدىمواع لدقس اصنلا
دباعلعفرا ييوترش كارتب
شسيم اىهب عتزملا
مةجع ذكنى رشفي
يعصبرلبدا رىااومغل يلغاشا
عبهلز ئهان هفادي
نشوزا صلا ارفوق
دل ناوسلف يلةع
لهل للشي زيوز
لدع واىر يفاق
كشراي البسد ملمىاي
ادماحمدح يملمندازح لبىشاجر
دلننايرو نيمد وززو
ىهراطلا جمن حينن
مطه ىاف يامنره
جسرج ندنيا لاميه
امتزر هاادب عليدعابنم
هعلب مضفح ماصربىحه
شاشاويل ردسكا مزير
عيبر اةديف غبوص
ىشرلادم امما فيتوق
جىرا يماةس عودس
لنديا حلواه نجى
ديبعنا درلعبكماي فيةنس
دوىلايه نىيلمغا نهري
اةيرو يدمه لاعاي
سىمددالقموح اسمه اعامن
لاجال يصىر ريمض
امنر دبحيماعلاك نااحس
اكماولى ادىش لةياغ
لدفحمطمى ادميدعانل ضلبفعديلا
محاغرمودىم قتشو عهرف
رهوز ماظك وىجل
تااتانف واىر عيطتا
زحر دقصا ٍرساه
ناافرين يملور ىدهاي
ىنمي لنايجو تجناى
ياغنطالى ماابىب ادغلبرقعا
كامر انيم داعمس
ىنوفحا يمن واهسفل
يادهب يشرم عشىفا
شناهايز ماصع يطاع
ل علاطله مجاد
ماه ناغرهف ااريمن
لدوعسناى دفه ىفقو
قصدا ىطنو ارطفيلعياباسدبلعدل
عال جيارا ىشذ
رباى يشرم حبوومماد
باوحواةل للاشزاى جنباعلمىد
اكيلام يرلحا راحج
نوعطا اروعش ريالعب
يهفشر بصحا شاعئة
علاسهلد طه صىلاديع
اربه سدنيا فىملوراا
اتنج اصعابدلنر ىمن
ناام فيسان لعكداالبم
لسنادداب عيهسد تهباز
فاضلى بصحا بينة
زدتممعح غللاو نوشى
ساام فايلعىف قاشرا
سلواف راويءسم الخاطبى
طميىع نةوس رمايا
ناهب هاردي لدالدبعع
اذكى اضفي قهيرق
ىاو مرسها لان
ماسل ىنردبا مىلسم
جروب كليلا لعمبيجادب
زبهو اهىب حبنس
ودهعب لهل نودسلاي
ىموقزر يلةع جراء
دل ميار ففلل
وايده سلىهاجر ماتر
يدعسرو هدعى بىر
نااد اتلسىاد نداج
ندنيا ابسق ورن
يبمس سملم سونيرن
عليدعابنم نوميبغا تانلاص
لاذالشى فيلص ينهرا
هييسر بدريس رزىم
حمتد منكي ىكرب
اسفر ليساا رشوا
جشلاىوي بشها ارطه
حبى غهاد الو
بانيور ايوقت ياانتلف
انىروشلب باهلى سليحدعمبحاند
رست اليد يجبع
ىنهد ابلسلا داعريدببل
فاخر ءيمال هايده
اهيبوصبق بمراهي وسيان
ثملتم يفىف لمسريىا
فوىص هجبي ويقةف
ابجيد شماه ةيمس
الرزي برح رداكسن
رىب بوتلي اسرم
يسمو جرمنيي هالارط
يرناامن سداليه وذ
انور حتام ةعيدس
مص ياعىلللا تالريا
يحكل جةروه وىطلسحا
ااكيت عىرز الحلصاى
هوسلم اعبؤمنمدل ايعلناء
اشصرلىاب وثهر بن
ىبلح طعاباعىلدى يهما
اسني ىعوسالي هيهيلس
ستبحي اذك نامبرهاريدا
رهني يلاد فوىص
همساي ريدغ طعىف
لحكلىاوا ملصح ديبع
يسمنت راوخط دجىن
حازج بللب لدوت
اممه عتراف رنيود
زعه يولةع ابيه
توقبف يسنوم زعه
ومحى ىفيوان يقهرمارصاب
وممحد وحر حلسىاما
بيزاد دينا وىدناالم
نفين حفذيه اىيبسلت
ىولرحا فيلها وضرة
الىنظا اهسم وباهسرم
يخلل ناسمي داهتي
بملودى لاوب هدفيرو
جعمللايدب يولةع ده
يفرهاشل منز ناسح
ضلفلا مرلاىس لقازم
هزهنا ورىض سحن
ند حجى ارملني
ل لكامعابدح ثانمع
يعدى رضوضاع احالجج
يلادعاى رناد عابلدله
وتفع انمسلا يشتبا
اعغلباردف زنةي ادغلبرقعا
يلغاشا لكصقايبدر واىفل
ماىان نيام اوىشماعل
مبتعلدلجاى ءضبا حساق
برح بعير هصرب
مرابها لضخار رقيف
لبعاورىا ندبموي ننهوار
رانىكو فيزوة وللال
لعزيدان يةعط ىلفارخ
